Reporter,Year,Sector,Subsector,Primary NAICS Code,NAICS Definition,Parent Company,City,County,Jurisdiction,Reported Emissions (MTCO2e),Biogenic Carbon Dioxide (MTCO2e),Carbon Dioxide (MTCO2e),Methane (MTCO2e),Nitrous Oxide (MTCO2e),HFCs (MTCO2e),PFCs (MTCO2e),Sulfur Hexafluoride (MTCO2e),Fluorinated - Other (MTCO2e),Notes,Point Size,Location,Covered Emissions (MT CO2e),CCA Status,Georeferenced Location
Darigold - Lynden,2013,Food Production,Dairy Products,311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",Darigold Inc.,Lynden,Whatcom,Northwest Clean Air Agency,18509,0,18490,9,10,0,0,0,0,,1,"48.947567, -122.451915",,,POINT (-122.451915 48.947567)
Lamb Weston - Quincy,2023,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Quincy,Grant,Ecology: Eastern Regional Office,29971,0,29941,14,17,0,0,0,0,,2,"47.234413, -119.869914",29971,Covered Entity,POINT (-119.869914 47.234413)
BB Energy USA LLC,2022,Supplier,Other Fuel Supplier,424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),BB ENERGY USA LLC,Houston,Harris,,19048,1224,17484,27,312,0,0,0,0,,,,,,
"Gas Transmission Northwest Compressor Station 6, LLC - Rosalia",2015,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,TransCanada Northern Border Inc.,Rosalia,Whitman,Spokane Regional Clean Air Agency,84805,0,82433,2326,46,0,0,0,0,,2,"47.277256, -117.406737",,,POINT (-117.406737 47.277256)
City of Tacoma Solid Waste Facility - Tacoma,2014,Waste,Landfills,562212,Solid Waste Landfill,City of Tacoma,Tacoma,Pierce,Puget Sound Clean Air Agency,20396,0,0,20396,0,0,0,0,0,,1,"47.223413, -122.499775",,,POINT (-122.499775 47.223413)
Naval Air Station Whidbey Island - Oak Harbor,2019,Government,National Security,928110,National Security,US Government,Oak Harbor,Island,Northwest Clean Air Agency,13092,0,13078,7,8,0,0,0,0,,1,"48.345281, -122.669741",,,POINT (-122.669741 48.345281)
Keyes Fibre Corporation - Wenatchee,2019,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Tekni-Plex Wenatchee Fiber Consumer Porducts,Wenatchee,Chelan,Ecology: Central Regional Office,14671,0,14656,7,8,0,0,0,0,,1,"47.485987, -120.316363",,,POINT (-120.316363 47.485987)
"Nucor Steel Seattle, Inc, - Seattle",2022,Metals,Iron and Steel Production,331110,Iron and Steel Mills and Ferroalloy Manufacturing,Nucor Corporation,Seattle,King,Puget Sound Clean Air Agency,84680,0,84637,20,24,0,0,0,0,,2,"47.569331, -122.367332",,,POINT (-122.367332 47.569331)
Phillips 66 Ferndale Refinery - Ferndale,2021,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,832384,0,828325,1983,2076,0,0,0,0,,3,"48.830142, -122.692114",,,POINT (-122.692114 48.830142)
WaferTech LLC - Camas,2020,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,WaferTech LLC,Camas,Clark,Southwest Clean Air Agency,104942,0,14148,7,6812,10531,33555,11758,28131,,3,"45.619569, -122.454955",,,POINT (-122.454955 45.619569)
Hampton Lumber Mills Washington Inc. - Randle,2023,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Randle,Lewis,Southwest Clean Air Agency,57434,56677,0,109,648,0,0,0,0,,2,"46.533743, -121.917906",,Reporter,POINT (-121.917906 46.533743)
Phillips 66 Company - Houston,2022,Supplier,Other Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Phillips 66 Company,Houston,Harris,,8264661,329260,7841838,8340,85224,0,0,0,0,,,,,,
"Boise Cascade Wood Products, LLC.  Kettle Falls Plywood - Kettle Falls",2015,Wood Products,Other Wood Products,321219,Reconstituted Wood Product Manufacturing,Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,71151,68501,1734,132,784,0,0,0,0,,2,"48.613175, -118.116106",,,POINT (-118.116106 48.613175)
James Hardie Building Products - Tacoma,2018,Manufacturing,Building Products,327390,Other Concrete Product Manufacturing,James Hardie Building Products Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,11699,0,11687,6,7,0,0,0,0,First year reporting.,1,"47.092145, -122.364656",,,POINT (-122.364656 47.092145)
Riverside Feeders SFL - Kennewick,2013,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Kennewick,Benton,Benton Clean Air Agency,19972,0,1118,1440,17414,0,0,0,0,,1,"45.991872, -119.136497",,,POINT (-119.136497 45.991872)
Northwest Pipeline C/S - Sumner,2023,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Sumner,Pierce,Puget Sound Clean Air Agency,51136,0,50579,529,28,0,0,0,0,,2,"47.228986, -122.209551",51136,Covered Entity,POINT (-122.209551 47.228986)
Northwest Hardwoods Inc. - Centralia,2020,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Centralia,Lewis,Southwest Clean Air Agency,8347,4892,3387,11,58,0,0,0,0,,1,"46.734454, -122.991963",,,POINT (-122.991963 46.734454)
REG Grays Harbor LLC - Hoquiam,2018,Petroleum Systems,Other Petroleum Systems,325199,All Other Basic Organic Chemical Manufacturing,Chevron Corporation,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,19370,0,19351,9,11,0,0,0,0,,1,"46.968196, -123.853622",,,POINT (-123.853622 46.968196)
McCain Foods - Othello,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",McCain USA Inc.,Othello,Adams,Ecology: Eastern Regional Office,67668,0,36830,30818,21,0,0,0,0,,2,"46.840102, -119.172705",,,POINT (-119.172705 46.840102)
Sierra Pacific Industries - Centralia,2015,Wood Products,Lumber Mills,321113,Sawmills,Sierra Pacific Industries,Centralia,Lewis,Southwest Clean Air Agency,40254,39724,0,76,454,0,0,0,0,,2,"46.756413, -122.995433",,,POINT (-122.995433 46.756413)
"Greif, Tacoma Mill - Tacoma",2019,Pulp and Paper,Other Pulp and Paper,322130,Paperboard Mills,Paperboard Parent Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,14351,0,14336,7,8,0,0,0,0,,1,"47.239235, -122.421909",,,POINT (-122.421909 47.239235)
Nippon Dynawave - Longview,2013,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Nippon Paper Industries Co Ltd,Longview,Cowlitz,Ecology: Industrial Section,1509835,1193366,306848,3563,6056,0,0,0,0,Assigned emissions level.  Formerly included North Pacific Paper before 2016.  Ecology split emissions for consistency with cooperation from facility.,4,"46.130495, -122.983637",,,POINT (-122.983637 46.130495)
Cowlitz County Headquarters Landfill - Castle Rock,2013,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,129060,556,0,128502,2,0,0,0,0,,3,"46.246902, -122.772284",,,POINT (-122.772284 46.246902)
Northwest Hardwoods Inc. - Longview,2021,Wood Products,Lumber Mills,321113,Sawmills,Littlejohn & Co. LLC,Longview,Cowlitz,Southwest Clean Air Agency,14016,8547,5349,19,101,0,0,0,0,,1,"46.114537, -122.916806",,,POINT (-122.916806 46.114537)
City of Enumclaw Gas Utility - supplier,2015,Supplier,Natural Gas Supplier,221210,Natural Gas Distribution,City of Enumclaw,Enumclaw,King,,20444,0,20423,10,11,0,0,0,0,,,,,,
"El Oro Cattle Feeders, LLC - Moses Lake",2021,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Agri Beef Co.,Moses Lake,Grant,Ecology: Eastern Regional Office,27314,0,0,2117,25198,0,0,0,0,Voluntary reporter.  Manure management reporting repealed by Legislature.,2,"47.052176, -119.093815",,,POINT (-119.093815 47.052176)
"Emerald City Renewables, LLC- Graham",2020,Power Plants,"Other Power, Heating, or Cooling Plants",221117,Biomass Electric Power Generation,Emerald City Renewables LLC,Graham,Pierce,Puget Sound Clean Air Agency,18098,18006,0,28,65,0,0,0,0,,1,"46.975533, -122.290871",,,POINT (-122.290871 46.975533)
US Army Joint Base Lewis-McChord - Pierce Co.,2012,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,86478,0,62395,24037,46,0,0,0,0,,2,"47.1142, -122.5365",,,POINT (-122.5365 47.1142)
U.S. Department of Energy Hanford Site - Richland,2012,Government,Other Government,924110,Administration of Air and Water Resource and Solid Waste Management Programs,US Government,Richland,Benton,Ecology: NWP,14865,0,4334,10523,7,0,0,0,0,,1,"46.55069, -119.489007",,,POINT (-119.489007 46.55069)
Alcoa Intalco Works - Ferndale,2017,Metals,Aluminum Production,331312,Primary Aluminum Production,Alcoa Corp.,Ferndale,Whatcom,Ecology: Industrial Section,1092946,0,354712,9675,32,0,728526,0,0,PFC emissions based on old source test information.,4,"48.8455, -122.7055",,,POINT (-122.7055 48.8455)
Lamb Weston - Richland,2016,Food Production,Potato Products,311411,"Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.",Richland,Benton,Benton Clean Air Agency,35966,0,35929,17,20,0,0,0,0,,2,"46.309314, -119.297267",,,POINT (-119.297267 46.309314)
AmeriGas Propane - King of Prussia,2023,Supplier,Other Fuel Supplier,457210,Fuel Dealers,UGI Corp,King of Prussia,Montgomery,,9873,0,9834,12,28,0,0,0,0,,,,1095,Covered Entity,
WestRock LLC - Longview,2016,Pulp and Paper,Kraft Mills,322130,Paperboard Mills,Westrock Corp.,Longview,Cowlitz,Ecology: Industrial Section,1661899,1499059,156168,1333,5339,0,0,0,0,,4,"46.10361, -122.92167",,,POINT (-122.92167 46.10361)
H.W. Hill Landfill Gas Power Plant - Roosevelt,2013,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Public Utility District No. 1 of Klickitat County,Roosevelt,Klickitat,Ecology: Central Regional Office,89278,88822,0,136,320,0,0,0,0,,2,"45.807765, -120.166354",,,POINT (-120.166354 45.807765)
EPIC Aviation LLC,2023,Supplier,Other Fuel Supplier,424710,Petroleum Bulk Stations and Terminals,Signature Aviation,Salem,Marion,,16107,4706,11358,12,31,0,0,0,0,,,,,Reporter,
Darling Ingredients Inc - Tacoma,2019,Food Production,Meat Products,311613,Rendering and Meat Byproduct Processing,Darling Ingredients Inc.,Tacoma,Pierce,Puget Sound Clean Air Agency,9187,0,9178,4,5,0,0,0,0,,1,"47.250503, -122.406461",,,POINT (-122.406461 47.250503)
Graymont Western US. Inc. - Tacoma,2015,Minerals,Lime Production,327410,Lime Manufacturing,"Graymont, Inc.",Tacoma,Pierce,Puget Sound Clean Air Agency,76402,0,76345,23,34,0,0,0,0,,2,"47.271365, -122.397262",,,POINT (-122.397262 47.271365)
Michelsen Packaging - Yakima,2022,Pulp and Paper,Other Pulp and Paper,322299,All Other Converted Paper Product Manufacturing,Michelson Packaging Co.,Yakima,Yakima,Yakima Regional Clean Air Agency,9536,0,9526,5,5,0,0,0,0,,1,"46.604058, -120.513015",,,POINT (-120.513015 46.604058)
US Army Joint Base Lewis-McChord - Pierce Co.,2017,Government,National Security,928110,National Security,US Government,Joint Base Lewis-McChord,Pierce,Puget Sound Clean Air Agency,78440,0,59757,18648,36,0,0,0,0,,2,"47.1142, -122.5365",,,POINT (-122.5365 47.1142)
Waste Management Greater Wenatchee Regional Landfill - East Wenatchee,2020,Waste,Landfills,562212,Solid Waste Landfill,Waste Management Inc.,East Wenatchee,Douglas,Ecology: Central Regional Office,55421,0,0,55421,0,0,0,0,0,,2,"47.405083, -120.167444",,,POINT (-120.167444 47.405083)
Cheyne Landfill - Zillah,2023,Waste,Landfills,562212,Solid Waste Landfill,Yakima County Public Services,Zillah,Yakima,Yakima Regional Clean Air Agency,47466,0,0,47466,0,0,0,0,0,,2,"46.4785, -120.2688",,Reporter,POINT (-120.2688 46.4785)
HF Sinclair Puget Sound Refinery LLC - Anacortes,2017,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,HollyFrontier Puget Sound Refining LLC,Anacortes,Skagit,Northwest Clean Air Agency,1897818,0,1886919,6831,4068,0,0,0,0,Assigned Emissions Level,4,"48.470931, -122.559161",,,POINT (-122.559161 48.470931)
Air Liquide Electronics Moses Lake Hydrogen Plant,2018,Chemicals,Other Chemicals,325120,Industrial Gas Manufacturing,Air Liquide USA Inc.,Moses Lake,Grant,Ecology: Eastern Regional Office,9273,0,9273,0,0,0,0,0,0,,1,"47.135844, -119.19962",,,POINT (-119.19962 47.135844)
Okanogan County Central Landfill - Okanogan,2019,Waste,Landfills,562212,Solid Waste Landfill,Okanogan County,Okanogan,Okanogan,Ecology: Central Regional Office,14933,0,0,14933,0,0,0,0,0,,1,"48.341148, -119.620109",,,POINT (-119.620109 48.341148)
Darigold - Sunnyside,2022,Food Production,Dairy Products,311513,Cheese Manufacturing,Darigold Inc.,Sunnyside,Yakima,Yakima Regional Clean Air Agency,36877,0,36839,18,21,0,0,0,0,,2,"46.30058, -120.015675",,,POINT (-120.015675 46.30058)
LRI Landfill - Graham,2012,Waste,Landfills,562212,Solid Waste Landfill,Waste Connections Inc.,Graham,Pierce,Puget Sound Clean Air Agency,4329,0,0,4329,0,0,0,0,0,,1,"46.972405, -122.292799",,,POINT (-122.292799 46.972405)
Great Western Malt - Vancouver,2021,Food Production,Other Food Products,311213,Malt Manufacturing,Great Western Malt,Vancouver,Clark,Southwest Clean Air Agency,20016,0,19995,10,11,0,0,0,0,,1,"45.631069, -122.690043",,,POINT (-122.690043 45.631069)
Phillips 66 Ferndale Refinery - Ferndale,2014,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,Phillips 66 Company,Ferndale,Whatcom,Northwest Clean Air Agency,770956,0,766992,2044,1920,0,0,0,0,,3,"48.830142, -122.692114",,,POINT (-122.692114 48.830142)
bp Cherry Point Refinery - Blaine,2021,Petroleum Systems,Petroleum Refineries,324110,Petroleum Refineries,BP America Inc.,Blaine,Whatcom,Northwest Clean Air Agency,2066338,0,2055490,6416,4433,0,0,0,0,,5,"48.8864, -122.7353",,,POINT (-122.7353 48.8864)
Imerys Minerals Quincy Plant - Quincy,2022,Minerals,Other Minerals,212399,All Other Nonmetallic Mineral Mining,Imerys Filtration Minerals Inc.,Quincy,Grant,Ecology: Eastern Regional Office,20476,0,20455,10,12,0,0,0,0,,1,"47.239948, -119.838831",,,POINT (-119.838831 47.239948)
Ardagh Glass Inc. - Seattle,2019,Minerals,Glass Production,327213,Glass Container Manufacturing,Ardagh Holdings USA Inc.,Seattle,King,Puget Sound Clean Air Agency,62997,0,62947,23,27,0,0,0,0,Furnace 2 retirement in February 2019.,2,"47.55242, -122.33739",,,POINT (-122.33739 47.55242)
Spokane Waste to Energy Facility - Spokane,2019,Power Plants,"Other Power, Heating, or Cooling Plants",562213,Solid Waste Combustors and Incinerators,City of Spokane,Spokane,Spokane,Spokane Regional Clean Air Agency,234194,134316,94749,2001,3130,0,0,0,0,,3,"47.626529, -117.504278",,,POINT (-117.504278 47.626529)
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls",2021,Wood Products,Lumber Mills,321912,"Cut Stock, Resawing Lumber, and Planing",Boise Cascade Company,Kettle Falls,Stevens,Ecology: Eastern Regional Office,52380,51690,0,99,591,0,0,0,0,,2,"48.609799, -118.067441",,,POINT (-118.067441 48.609799)
Northwest Pipeline C/S - Goldendale,2022,Natural Gas Systems,Natural Gas Transmission/Compression,486210,Pipeline Transportation of Natural Gas,"The Williams Companies, Inc.",Goldendale,Klickitat,Ecology: Central Regional Office,19818,0,17270,2538,10,0,0,0,0,,1,"45.771216, -120.799267",,,POINT (-120.799267 45.771216)
Grays Harbor Energy Center - Elma,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,Invenergy Investment Company LLC,Elma,Grays Harbor,EFSEC,60590,0,60528,28,34,0,0,0,0,,2,"46.9688, -123.48",,,POINT (-123.48 46.9688)
Ponderay Industries - Usk,2014,Pulp and Paper,Other Pulp and Paper,322122,Newsprint Mills,Ponderay Industries,Usk,Pend Oreille,Ecology: Eastern Regional Office,53646,51117,1774,119,635,0,0,0,0,,2,"48.289771, -117.271359",,,POINT (-117.271359 48.289771)
"SEH America, Inc - Vancouver",2023,Manufacturing,Electronics Industry,334413,Semiconductor and Related Device Manufacturing,SEH America Inc.,Vancouver,Clark,Southwest Clean Air Agency,10638,0,10628,5,6,0,0,0,0,,1,"45.649912, -122.553612",,Reporter,POINT (-122.553612 45.649912)
Hampton Lumber Mills Washington Inc. - Darrington,2022,Wood Products,Lumber Mills,321113,Sawmills,Hampton Lumber Mills Washington Inc.,Darrington,Snohomish,Puget Sound Clean Air Agency,84515,83401,0,160,954,0,0,0,0,,2,"48.262797, -121.597608",,,POINT (-121.597608 48.262797)
"El Oro Cattle Feeders, LLC - Moses Lake",2020,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Agri Beef Co.,Moses Lake,Grant,Ecology: Eastern Regional Office,25506,0,0,1978,23528,0,0,0,0,,2,"47.052176, -119.093815",,,POINT (-119.093815 47.052176)
Public Utility District No. 1 of Clark County - Vancouver,2022,Power,COU,2211,"Electric Power Generation, Transmission and Distribution",Clark Public Utilities,Vancouver,Clark,,170808,,,,,,,,,,,,,,
"SGL Carbon, LLC - Moses Lake",2019,Manufacturing,Transportation Industry,335991,Carbon and Graphite Product Manufacturing,SGL Automotive Carbon Fibers LLC,Moses Lake,Grant,Ecology: Eastern Regional Office,12398,0,12386,6,7,0,0,0,0,,1,"47.208993, -119.285437",,,POINT (-119.285437 47.208993)
Cowlitz County Headquarters Landfill - Castle Rock,2018,Waste,Landfills,562212,Solid Waste Landfill,Cowlitz County,Castle Rock,Cowlitz,Southwest Clean Air Agency,239496,5966,0,233509,21,0,0,0,0,,3,"46.246902, -122.772284",,,POINT (-122.772284 46.246902)
"Bio Energy Washington, LLC - Maple Valley",2021,Power Plants,"Other Power, Heating, or Cooling Plants",221119,Other Electric Power Generation,Bio Energy Washington,Maple Valley,King,Puget Sound Clean Air Agency,21129,19795,1228,32,75,0,0,0,0,,1,"47.455871, -122.041817",,,POINT (-122.041817 47.455871)
REG Grays Harbor LLC - Hoquiam,2022,Petroleum Systems,Other Petroleum Systems,325199,All Other Basic Organic Chemical Manufacturing,Chevron Corporation,Hoquiam,Grays Harbor,Olympic Region Clean Air Agency,19751,0,19731,9,11,0,0,0,0,,1,"46.968196, -123.853622",,,POINT (-123.853622 46.968196)
Central Washington University - Ellensburg,2012,Government,Education,611310,"Colleges, Universities, and Professional Schools",State of Washington,Ellensburg,Kittitas,Ecology: Central Regional Office,13358,0,13344,6,7,0,0,0,0,,1,"47.003202, -120.544513",,,POINT (-120.544513 47.003202)
Riverside Feeders SFL - Kennewick,2015,Livestock,Cattle Feedlots,112112,Cattle Feedlots,Easterday Ranches,Kennewick,Benton,Benton Clean Air Agency,21519,0,1990,1514,18015,0,0,0,0,,1,"45.991872, -119.136497",,,POINT (-119.136497 45.991872)
Packaging Corporation of America - Wallula,2013,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,832636,727045,89680,13225,2685,0,0,0,0,,3,"46.10396, -118.9184",,,POINT (-118.9184 46.10396)
Packaging Corporation of America - Wallula,2012,Pulp and Paper,Kraft Mills,322121,Paper (except Newsprint) Mills,Packaging Corp of America,Wallula,Walla Walla,Ecology: Industrial Section,928399,791371,105942,18855,12231,0,0,0,0,,3,"46.10396, -118.9184",,,POINT (-118.9184 46.10396)
Frederickson Power LP - Tacoma,2012,Power Plants,Natural Gas Turbine Plants,221112,Fossil Fuel Electric Power Generation,"Puget Sound Energy, Inc. and Capital Power (US Holdings) Inc",Tacoma,Pierce,Puget Sound Clean Air Agency,139141,0,138999,65,77,0,0,0,0,,3,"47.086342, -122.365686",,,POINT (-122.365686 47.086342)
Bonneville Power Administration - WA Only - statewide,2019,Power Plants,Electrical Transmission and Distribution,221121,Electric Bulk Power Transmission and Control,US Government,Vancouver,Clark,Southwest Clean Air Agency,10415,0,0,0,0,0,0,10415,0,,1,"45.661178, -122.658608",,,POINT (-122.658608 45.661178)
